"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.456556350E-1,5.429995060E-2,8.095352352E-2,-8.388900757E-2,1.286053000E-1
3.506556350E-1,4.588273168E-2,1.069082469E-1,-1.088943481E-1,1.593504860E-1
3.556556350E-1,5.103713274E-2,8.930376172E-2,-8.696746826E-2,1.346970353E-1
3.606556350E-1,2.374903858E-2,1.065530330E-1,-7.655429840E-2,1.333346402E-1
3.656556350E-1,2.014094591E-2,1.224720627E-1,-5.241203308E-2,1.347296740E-1
3.706556350E-1,2.589057386E-2,8.150067925E-2,-3.293037415E-2,9.163564849E-2
3.756556350E-1,3.119838238E-2,7.908700407E-2,-1.703739166E-2,8.670851163E-2
3.806556350E-1,5.843967199E-2,6.868024170E-2,-8.365631104E-3,9.056574765E-2
3.856556350E-1,5.411960185E-2,6.301148236E-2,-2.811908722E-2,8.769299447E-2
3.906556350E-1,5.083231628E-2,5.478847027E-2,-4.183006287E-2,8.564727090E-2
3.956556350E-1,5.482771993E-2,7.881143689E-2,-5.950069427E-2,1.129497856E-1
4.006556350E-1,4.140160978E-2,8.052422106E-2,-8.056354523E-2,1.211970639E-1
4.056556350E-1,2.751158178E-2,1.033291966E-1,-7.392215729E-2,1.299934434E-1
4.106556350E-1,2.289266884E-2,1.048608869E-1,-6.987857819E-2,1.280737896E-1
4.156556350E-1,2.597741783E-2,1.008149683E-1,-5.675888062E-2,1.185751011E-1
4.206556350E-1,4.378467798E-2,7.886393368E-2,-3.829383850E-2,9.799508217E-2
4.256556350E-1,4.885903001E-2,7.652443647E-2,-4.551124573E-2,1.015601678E-1
4.306556350E-1,4.661655426E-2,5.201250315E-2,-5.740165710E-2,9.040660293E-2
4.356556350E-1,5.632311106E-2,5.227288604E-2,-4.749107361E-2,9.033354596E-2
4.406556350E-1,4.836548865E-2,6.289795041E-2,-4.902458191E-2,9.326726269E-2
4.456556350E-1,3.955279291E-2,5.131733418E-2,-5.219650269E-2,8.320076386E-2
4.506556350E-1,4.371643066E-2,7.258227468E-2,-3.400611877E-2,9.130021370E-2
4.556556350E-1,4.369701445E-2,9.751564264E-2,-3.896522522E-2,1.137410146E-1
4.606556350E-1,3.919140995E-2,8.987151086E-2,-4.880523682E-2,1.095208027E-1
4.656556350E-1,3.878465295E-2,1.003927290E-1,-5.386829376E-2,1.203525755E-1
4.706556350E-1,3.853228688E-2,9.380304813E-2,-3.624248505E-2,1.076906063E-1
4.756556350E-1,3.450696170E-2,6.226579845E-2,-5.549526215E-2,9.026341553E-2
4.806556350E-1,3.645075858E-2,6.035101414E-2,-4.428482056E-2,8.325892168E-2
4.856556350E-1,2.404838800E-2,5.173236132E-2,-4.687881470E-2,7.383891549E-2
4.906556350E-1,2.852135897E-2,4.660955071E-2,-3.109169006E-2,6.286979661E-2
4.956556350E-1,3.038659692E-2,7.420533895E-2,-3.652095795E-2,8.811105476E-2
5.006556350E-1,5.098132789E-2,7.623802125E-2,-4.060554504E-2,1.003002591E-1
5.056556350E-1,3.878644109E-2,7.574771345E-2,-4.230594635E-2,9.503629413E-2
5.106556350E-1,3.752331436E-2,9.352400899E-2,-4.549980164E-2,1.105665923E-1
5.156556350E-1,4.355588555E-2,7.328715920E-2,-5.299568176E-2,1.003825939E-1
5.206556350E-1,2.712400258E-2,7.108610868E-2,-6.639766693E-2,1.009831498E-1
5.256556350E-1,4.110175371E-2,5.819958448E-2,-4.826259613E-2,8.605709719E-2
5.306556350E-1,3.670805693E-2,4.318918288E-2,-4.409408569E-2,7.181277988E-2
5.356556350E-1,2.798335254E-2,7.154382765E-2,-2.297019958E-2,8.018240059E-2
5.406556350E-1,5.324716866E-2,4.321904480E-2,-8.909225464E-3,6.915577418E-2
5.456556350E-1,2.031432092E-2,6.371223927E-2,-1.506805420E-2,6.854901403E-2
5.506556350E-1,2.763321996E-2,9.174655378E-2,-2.251911163E-2,9.842832603E-2
5.556556350E-1,4.094111919E-2,5.058799684E-2,-3.357315063E-2,7.322893628E-2
5.606556350E-1,7.431462407E-3,7.524555922E-2,-3.845787048E-2,8.482999833E-2
5.656556350E-1,4.101768136E-2,6.620702147E-2,-3.858184814E-2,8.691592997E-2
5.706556350E-1,2.529370785E-2,5.554643273E-2,-5.110073090E-2,7.960190038E-2
5.756556350E-1,2.140493691E-2,6.502060592E-2,-4.947090149E-2,8.445839575E-2
5.806556350E-1,4.942631721E-2,5.067221820E-2,-4.314613342E-2,8.289887430E-2
5.856556350E-1,1.668442786E-2,3.868795931E-2,-3.940200806E-2,5.768575706E-2
5.906556350E-1,2.372747660E-2,7.009643316E-2,-3.253746033E-2,8.084051838E-2
5.956556350E-1,2.726313472E-2,6.019867957E-2,-1.619720459E-2,6.804049509E-2
6.006556350E-1,2.748273313E-2,3.991791606E-2,-2.180290222E-2,5.314232953E-2
6.056556350E-1,3.351724148E-2,8.700984716E-2,-2.472972870E-2,9.646594457E-2
6.106556350E-1,4.823631048E-2,6.944835186E-2,-3.545475006E-2,9.168890078E-2
6.156556350E-1,1.226110756E-2,5.691839755E-2,-5.661010742E-2,8.120802300E-2
6.206556350E-1,5.256614089E-2,7.696580887E-2,-6.504058838E-2,1.136539178E-1
6.256556350E-1,3.896412253E-2,3.833808005E-2,-4.458904266E-2,7.054214309E-2
6.306556350E-1,4.742339253E-3,5.189386010E-2,-3.903198242E-2,6.510728185E-2
